id,book_name,char,label,baseline_loss,primed_loss,delta,baseline_ppl,primed_ppl,ppl_ratio
69,In Search of the Castaways,Kai-Koumou,1,2.4535789489746094,2.5033724308013916,0.04979348182678223,11.629895210266113,12.223648071289062,1.0510540164195825
50,In Search of the Castaways,Thalcave,1,1.815961480140686,1.7796653509140015,-0.03629612922668457,6.146983623504639,5.927872180938721,0.9643546402615932
5,In Search of the Castaways,Jacques Paganel,1,1.6738334894180298,1.7013126611709595,0.027479171752929688,5.332571029663086,5.481137275695801,1.0278601532368339
39,In Search of the Castaways,Tom Ayrton/Ben Joyce,0,1.65187406539917,1.6964668035507202,0.04459273815155029,5.216747283935547,5.454640865325928,1.0456018987392681
19,In Search of the Castaways,Jacques Paganel,1,2.148986577987671,2.2296297550201416,0.0806431770324707,8.576162338256836,9.296422958374023,1.0839840235887588
113,The Count of Monte Cristo,Faria,0,3.9656951427459717,3.960479736328125,-0.00521540641784668,52.75693130493164,52.48249816894531,0.9947981596124285
139,The Count of Monte Cristo,Faria,1,3.0525245666503906,3.049158811569214,-0.003365755081176758,21.168718338012695,21.09758949279785,0.9966399078074029
71,In Search of the Castaways,Kai-Koumou,0,1.8315786123275757,1.8362908363342285,0.004712224006652832,6.243735313415527,6.273226737976074,1.0047233623912886
26,In Search of the Castaways,Tom Ayrton/Ben Joyce,1,1.494288682937622,1.3782342672348022,-0.11605441570281982,4.456165790557861,3.9678893089294434,0.890426769429669
117,The Count of Monte Cristo,Faria,0,3.4237091541290283,3.4352920055389404,0.01158285140991211,30.683012008666992,31.040475845336914,1.011650219886136
6,In Search of the Castaways,Jacques Paganel,1,2.529867649078369,2.5490329265594482,0.0191652774810791,12.551844596862793,12.794724464416504,1.0193501334150055
76,In Search of the Castaways,Kai-Koumou,1,2.4855222702026367,2.4729695320129395,-0.012552738189697266,12.007389068603516,11.857605934143066,0.9875257532170673
17,In Search of the Castaways,Jacques Paganel,0,2.148986577987671,2.2228212356567383,0.07383465766906738,8.576162338256836,9.233343124389648,1.0766287717294294
20,In Search of the Castaways,Jacques Paganel,1,1.9695048332214355,1.9470369815826416,-0.022467851638793945,7.167126655578613,7.00789213180542,0.9777826552500992
10,In Search of the Castaways,Jacques Paganel,1,2.223623752593994,2.262171983718872,0.03854823112487793,9.240756034851074,9.603925704956055,1.0393008611779495
122,The Count of Monte Cristo,Faria,0,3.2780776023864746,3.3300137519836426,0.05193614959716797,26.52473258972168,27.9387264251709,1.0533085048328494
62,In Search of the Castaways,Thalcave,1,1.8372209072113037,1.8339262008666992,-0.003294706344604492,6.279063701629639,6.258410453796387,0.996710775871267
36,In Search of the Castaways,Tom Ayrton/Ben Joyce,1,1.3967331647872925,1.372114658355713,-0.02461850643157959,4.041974067687988,3.943681478500366,0.9756820336940347
73,In Search of the Castaways,Kai-Koumou,1,2.0451903343200684,2.01991868019104,-0.02527165412902832,7.730629920959473,7.537712097167969,0.9750450059356146
98,The Count of Monte Cristo,Noirtier,0,3.3707289695739746,3.3363280296325684,-0.03440093994140625,29.0997314453125,28.115697860717773,0.9661841008242968
25,In Search of the Castaways,Jacques Paganel,1,2.0062990188598633,2.0150651931762695,0.00876617431640625,7.435746669769287,7.501216411590576,1.0088047300061287
120,The Count of Monte Cristo,Faria,1,3.290654420852661,3.1614012718200684,-0.12925314903259277,26.860435485839844,23.603647232055664,0.8787514723839426
105,The Count of Monte Cristo,Noirtier,0,3.426931381225586,3.4357030391693115,0.008771657943725586,30.782039642333984,31.05323600769043,1.0088102142842892
57,In Search of the Castaways,Thalcave,1,1.7390344142913818,1.6993234157562256,-0.03971099853515625,5.691844940185547,5.470244884490967,0.961067095463188
106,The Count of Monte Cristo,Noirtier,0,3.384709119796753,3.4455602169036865,0.060851097106933594,29.50940704345703,31.36084747314453,1.0627406856044574
118,The Count of Monte Cristo,Faria,0,3.203767776489258,3.2550113201141357,0.05124354362487793,24.625137329101562,25.91990852355957,1.05257924766689
